run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,k,Algorithm,k algo,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Msgs Counter Arrive,Msgs Counter Deliver,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors,Average Idle Time,Max Idle Time
0,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9901,6934.0,1.0,6934.0,0.0,0.0,5894.0,294700.0,376.0,376.0,0.0,1.0,7.0,8719.8,9320.0
1,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9960,6991.0,1.0,6991.0,0.0,0.0,5468.0,273400.0,216.0,216.0,0.0,1.0,7.0,8803.96,9399.0
2,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9881,7416.0,1.0,7416.0,0.0,0.0,5057.0,252850.0,276.0,276.0,0.0,1.0,7.0,8866.12,9285.0
3,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9926,6724.0,1.0,6724.0,0.0,0.0,5791.0,289550.0,358.0,358.0,0.0,1.0,7.0,8749.64,9415.0
4,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9952,6191.0,1.0,6191.0,0.0,0.0,5511.0,275550.0,315.0,315.0,0.0,1.0,7.0,8853.3,9381.0
5,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9977,7131.0,1.0,7131.0,0.0,0.0,6034.0,301700.0,177.0,177.0,0.0,1.0,7.0,8775.5,9466.0
6,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9956,6326.0,1.0,6326.0,0.0,0.0,5848.0,292400.0,97.0,97.0,0.0,1.0,7.0,8757.46,9385.0
7,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9999,7291.0,1.0,7291.0,0.0,0.0,5275.0,263750.0,287.0,287.0,0.0,1.0,8.0,8917.26,9340.0
8,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9921,7826.0,1.0,7826.0,0.0,0.0,4840.0,242000.0,241.0,241.0,0.0,1.0,8.0,8939.0,9490.0
9,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9952,7142.0,1.0,7142.0,0.0,0.0,5853.0,292650.0,245.0,245.0,0.0,1.0,7.0,8766.18,9256.0
10,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9962,7285.0,1.0,7285.0,0.0,0.0,6348.0,317400.0,302.0,302.0,0.0,1.0,7.0,8709.9,9421.0
11,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9955,6738.0,1.0,6738.0,0.0,0.0,6507.0,325350.0,207.0,207.0,0.0,1.0,6.0,8667.2,9544.0
12,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9995,6764.0,1.0,6764.0,0.0,0.0,6666.0,333300.0,292.0,292.0,0.0,1.0,7.0,8637.14,9504.0
13,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9952,7093.0,1.0,7093.0,0.0,0.0,5329.0,266450.0,443.0,443.0,0.0,1.0,7.0,8892.14,9411.0
14,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9775,7369.0,1.0,7369.0,0.0,0.0,5280.0,264000.0,162.0,162.0,0.0,1.0,7.0,8705.14,9301.0
15,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9991,6805.0,1.0,6805.0,0.0,0.0,6283.0,314150.0,234.0,234.0,0.0,1.0,7.0,8709.84,9360.0
16,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9988,5781.0,1.0,5781.0,0.0,0.0,5663.0,283150.0,90.0,90.0,0.0,1.0,7.0,8839.44,9406.0
17,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9999,7258.0,1.0,7258.0,0.0,0.0,6584.0,329200.0,201.0,201.0,0.0,1.0,7.0,8689.06,9268.0
18,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9973,7630.0,1.0,7630.0,0.0,0.0,6199.0,309950.0,365.0,365.0,0.0,1.0,7.0,8745.54,9275.0
19,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9904,6902.0,1.0,6902.0,0.0,0.0,5683.0,284150.0,244.0,244.0,0.0,1.0,7.0,8753.88,9333.0
20,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9921,6433.0,1.0,6433.0,0.0,0.0,5556.0,277800.0,282.0,282.0,0.0,1.0,7.0,8807.02,9560.0
21,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9956,6412.0,1.0,6412.0,0.0,0.0,5746.0,287300.0,251.0,251.0,0.0,1.0,7.0,8801.36,9315.0
22,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9961,7795.0,1.0,7795.0,0.0,0.0,6557.0,327850.0,250.0,250.0,0.0,1.0,7.0,8625.92,9160.0
23,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9961,7236.0,1.0,7236.0,0.0,0.0,6440.0,322000.0,343.0,343.0,0.0,1.0,7.0,8673.56,9250.0
24,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9989,6833.0,1.0,6833.0,0.0,0.0,6022.0,301100.0,226.0,226.0,0.0,1.0,7.0,8792.96,9498.0
25,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9851,7603.0,1.0,7603.0,0.0,0.0,5491.0,274550.0,287.0,287.0,0.0,1.0,7.0,8760.26,9390.0
26,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9950,6855.0,1.0,6855.0,0.0,0.0,5962.0,298100.0,201.0,201.0,0.0,1.0,8.0,8763.72,9289.0
27,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9897,7683.0,1.0,7683.0,0.0,0.0,5520.0,276000.0,484.0,484.0,0.0,1.0,7.0,8761.58,9286.0
28,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9978,7187.0,1.0,7187.0,0.0,0.0,6309.0,315450.0,214.0,214.0,0.0,1.0,6.0,8727.4,9327.0
29,Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,50,CAMDLS Naive,0,9914,7715.0,1.0,7715.0,0.0,0.0,5624.0,281200.0,182.0,182.0,0.0,1.0,7.0,8754.22,9363.0
