run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,k,Algorithm,k algo,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Msgs Counter Arrive,Msgs Counter Deliver,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors,Average Idle Time,Max Idle Time
0,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,997,49.0,1.0,49.0,0.0,0.0,278.0,366.0,40.0,40.0,0.0,1.0,3.0,644.0,656.0
1,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,999,20.0,1.0,20.0,0.0,0.0,337.0,458.0,10.0,10.0,0.0,1.0,3.0,658.3333333333334,665.0
2,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,985,51.0,1.0,51.0,0.0,0.0,300.0,398.0,30.0,30.0,0.0,1.0,3.0,642.0,652.0
3,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,989,24.0,1.0,24.0,0.0,0.0,381.0,518.0,10.0,10.0,0.0,1.0,3.0,652.0,656.0
4,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,990,48.0,1.0,48.0,0.0,0.0,317.0,422.0,45.0,45.0,0.0,1.0,3.0,659.3333333333334,665.0
5,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,997,7.0,1.0,7.0,0.0,0.0,325.0,428.0,6.0,6.0,0.0,1.0,3.0,650.6666666666666,654.0
6,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,995,25.0,1.0,25.0,0.0,0.0,301.0,408.0,16.0,16.0,0.0,1.0,3.0,649.3333333333334,654.0
7,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,995,77.0,1.0,77.0,0.0,0.0,272.0,358.0,53.0,53.0,0.0,1.0,3.0,656.0,662.0
8,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,995,19.0,1.0,19.0,0.0,0.0,299.0,392.0,16.0,16.0,0.0,1.0,3.0,649.3333333333334,654.0
9,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,995,45.0,1.0,45.0,0.0,0.0,287.0,390.0,21.0,21.0,0.0,1.0,3.0,662.6666666666666,672.0
10,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,991,7.0,1.0,7.0,0.0,0.0,276.0,374.0,3.0,3.0,0.0,1.0,3.0,653.3333333333334,660.0
11,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,995,32.0,1.0,32.0,0.0,0.0,273.0,366.0,21.0,21.0,0.0,1.0,3.0,649.3333333333334,654.0
12,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,992,15.0,1.0,15.0,0.0,0.0,311.0,402.0,10.0,10.0,0.0,1.0,3.0,647.3333333333334,651.0
13,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,991,41.0,1.0,41.0,0.0,0.0,259.0,342.0,32.0,32.0,0.0,1.0,3.0,640.0,650.0
14,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,994,10.0,1.0,10.0,0.0,0.0,286.0,384.0,7.0,7.0,0.0,1.0,3.0,648.6666666666666,653.0
15,Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,993,19.0,1.0,19.0,0.0,0.0,279.0,370.0,11.0,11.0,0.0,1.0,3.0,648.0,652.0
