DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,k,Algorithm,k algo,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Msgs Counter Arrive,Msgs Counter Deliver,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors,Average Idle Time,Max Idle Time
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.10219999999999996,1.0,0.0,0.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,100,NaN,1.0,NaN,0.0,0.0,149.82,149.82,NaN,60.21,NaN,0.3894,3.99,42.6,76.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,200,NaN,1.0,NaN,0.0,0.0,222.56,222.56,NaN,99.49,NaN,0.5383999999999999,4.85,109.69399999999997,167.2
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,300,NaN,1.0,NaN,0.0,0.0,282.17,282.17,317.5,135.82,NaN,0.6585999999999997,5.37,186.32999999999996,261.2
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,400,NaN,1.0,NaN,0.0,0.0,336.55,336.55,227.91666666666666,169.16,NaN,0.7699999999999997,5.92,267.55019999999996,355.1
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,500,NaN,1.0,NaN,0.0,0.0,380.98,380.98,240.08695652173913,198.75,NaN,0.8538000000000001,6.33,347.26679999999993,447.3
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,600,7198.727272727273,1.0,6877.416666666667,0.0,0.0,425.26,425.26,259.48837209302326,225.21,284.3636363636364,0.9122000000000001,6.63,431.6172000000001,544.4
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,700,7329.419354838709,1.0,7183.044117647059,0.0,0.0,469.97,469.97,266.82089552238807,248.52,193.40322580645162,0.9525999999999999,6.81,521.1767999999998,642.6
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,800,7392.327272727272,1.0,7302.558333333333,0.0,0.0,514.88,514.88,263.5731707317073,258.6,141.38181818181818,0.9782,6.93,608.1313999999999,737.64
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,1.0,1,CAMDLS Naive,0,900,7476.52,1.0,7406.5,0.0,0.0,559.06,559.06,270.5698924731183,263.3,105.76,0.9925999999999999,6.99,689.8151999999998,820.49
